Month,TotalSales,PredictedLabel,Score,PValue
"01-Jan","163","0","163","0.5"
"02-Jan","182","0","182","1E-08"
"03-Jan","185","0","185","0.19318304053805901"
"04-Jan","149","0","149","0.025263759425361743"
"05-Jan","156","0","156","0.2654719106908624"
"06-Jan","150","0","150","0.2127510237001431"
"07-Jan","130","0","130","0.03739004476133667"
"08-Jan","180","0","180","0.21542518846246328"
"09-Jan","334","0","334","1E-08"
"10-Jan","111","0","111","0.17478043350575434"
"11-Jan","105","0","105","0.18501770182168586"
"12-Jan","200","0","200","0.2949152882701567"
"13-Jan","163","0","163","0.4985215143489433"
"14-Jan","162","0","162","0.4935995660327753"
"15-Jan","181","0","181","0.3899853889771636"
"16-Jan","114","0","114","0.20528173945332273"
"17-Jan","151","0","151","0.4372271586211036"
"18-Jan","163","0","163","0.4810712286678817"
"19-Jan","129","0","129","0.2956229121238455"
"20-Jan","136","0","136","0.34903746888237897"
"21-Jan","194","0","194","0.2639224925304109"
"22-Jan","107","0","107","0.1766965712276367"
"23-Jan","123","0","123","0.27937890480847627"
"24-Jan","151","0","151","0.47675415728940496"
"25-Jan","172","0","172","0.3720727114438249"
"26-Jan","115","0","115","0.2558356916682667"
"27-Jan","117","0","117","0.28184650183501925"
"28-Jan","107","0","107","0.23969705320856183"
"29-Jan","186","0","186","0.2668307170723045"
"30-Jan","156","0","156","0.45767518843296606"
"31-Jan","127","0","127","0.36533860339656965"
"01-Feb","142","0","142","0.49214785994932075"
"02-Feb","111","0","111","0.21021026143813126"
"03-Feb","175","0","175","0.24261263053139115"
"04-Feb","194","0","194","0.10325746243314066"
"05-Feb","184","0","184","0.18462917730458822"
"06-Feb","197","0","197","0.12458248474988937"
"07-Feb","139","0","139","0.43362054017482055"
"08-Feb","137","0","137","0.40219587423643477"
"09-Feb","179","0","179","0.2429989499425222"
"10-Feb","118","0","118","0.24923261572142041"
"11-Feb","189","0","189","0.18859629076566975"
"12-Feb","124","0","124","0.29041557058857703"
"13-Feb","542","1","542","1E-08"
"14-Feb","180","0","180","0.3992669720174372"
"15-Feb","119","0","119","0.34162935303258035"
"16-Feb","179","0","179","0.40853618600493474"
"17-Feb","158","0","158","0.49461185992910833"
"18-Feb","188","0","188","0.3816899961213724"
"19-Feb","13","0","13","0.05412017042495787"
"20-Feb","195","0","195","0.36809899903977483"
"21-Feb","134","0","134","0.39964829648709743"
"22-Feb","193","0","193","0.373717109316312"
"23-Feb","189","0","189","0.3999773713201535"
"24-Feb","181","0","181","0.43873122042134477"
"25-Feb","112","0","112","0.29024068303776995"
"26-Feb","146","0","146","0.4261484907091624"
"27-Feb","131","0","131","0.37910410004603823"
"28-Feb","182","0","182","0.41719467480555483"
"01-Mar","186","0","186","0.39928642132490977"
"02-Mar","172","0","172","0.4608706187075355"
"03-Mar","117","0","117","0.32547399037943636"
"04-Mar","171","0","171","0.45995009217086535"
"05-Mar","134","0","134","0.38854658308583456"
"06-Mar","125","0","125","0.36582781122766683"
"07-Mar","134","0","134","0.39894000326732704"
"08-Mar","140","0","140","0.38532783992296915"
"09-Mar","253","1","253","0.022067862244339598"
"10-Mar","131","0","131","0.3217980160289807"
"11-Mar","115","0","115","0.2475765847998619"
"12-Mar","103","0","103","0.206081909140027"
"13-Mar","198","0","198","0.21549417540492333"
"14-Mar","131","0","131","0.32684744963624723"
"15-Mar","161","0","161","0.4215992898200243"
"16-Mar","102","0","102","0.14786330539399206"
"17-Mar","172","0","172","0.32292092407569395"
"18-Mar","101","0","101","0.16536778928866736"
"19-Mar","117","0","117","0.29724042069489276"
"20-Mar","169","0","169","0.3085386420005906"
"21-Mar","146","0","146","0.48847233726727735"
"22-Mar","112","0","112","0.24778343820118742"
"23-Mar","102","0","102","0.20242104444094622"
"24-Mar","140","0","140","0.4790432364885997"
"25-Mar","175","0","175","0.21769857329630837"
"26-Mar","181","0","181","0.2065913107703306"
"27-Mar","57","1","57","0.03428956179559517"
"28-Mar","109","0","109","0.30344469496825066"
"29-Mar","102","0","102","0.26696543927043637"
"30-Mar","102","0","102","0.2814810401224791"
"31-Mar","171","0","171","0.261714861062607"
